Time [s], Analyzer Name, Decoded Protocol Result
3.208039160000000,SPI,MOSI: 0x014
3.208135560000000,SPI,MOSI: 0x100
3.208231020000000,SPI,MOSI: 0x100
3.208326620000000,SPI,MOSI: 0x100
3.208422280000000,SPI,MOSI: 0x1EF
3.208520460000000,SPI,MOSI: 0x100
3.208616160000000,SPI,MOSI: 0x1EF
3.208713440000000,SPI,MOSI: 0x013
3.213542480000000,SPI,MOSI: 0x1FF
3.213640700000000,SPI,MOSI: 0x1FF
3.213739040000000,SPI,MOSI: 0x1FF
3.213837340000000,SPI,MOSI: 0x1FF
3.213935600000000,SPI,MOSI: 0x1FF
3.214033860000000,SPI,MOSI: 0x1FF
3.214132140000000,SPI,MOSI: 0x1FF
3.214230520000000,SPI,MOSI: 0x1FF
3.214328760000000,SPI,MOSI: 0x1FF
3.214427000000000,SPI,MOSI: 0x1FF
3.214525360000000,SPI,MOSI: 0x1FF
3.214623580000000,SPI,MOSI: 0x1FF
3.214721900000000,SPI,MOSI: 0x1FF
3.214820180000000,SPI,MOSI: 0x1FF
3.214918480000000,SPI,MOSI: 0x1FF
3.215016780000000,SPI,MOSI: 0x1FF
3.215115040000000,SPI,MOSI: 0x1FF
3.215213300000000,SPI,MOSI: 0x1FF
3.215311620000000,SPI,MOSI: 0x1FF
3.215409920000000,SPI,MOSI: 0x1FF
3.215508180000000,SPI,MOSI: 0x1FF
3.215606520000000,SPI,MOSI: 0x1FF
3.215704720000000,SPI,MOSI: 0x1FF
3.215803060000000,SPI,MOSI: 0x1FF
3.215901360000000,SPI,MOSI: 0x1FF
3.215999600000000,SPI,MOSI: 0x1FF
3.216097980000000,SPI,MOSI: 0x1A5
3.216194700000000,SPI,MOSI: 0x140
3.216290460000000,SPI,MOSI: 0x100
3.216385760000000,SPI,MOSI: 0x100
3.216481040000000,SPI,MOSI: 0x100
3.216576380000000,SPI,MOSI: 0x100
3.216671760000000,SPI,MOSI: 0x101
3.216767360000000,SPI,MOSI: 0x15A
3.216864180000000,SPI,MOSI: 0x1FF
3.216962500000000,SPI,MOSI: 0x1FF
3.217060760000000,SPI,MOSI: 0x1FF
3.217159120000000,SPI,MOSI: 0x1FF
3.217257340000000,SPI,MOSI: 0x1FF
3.217355680000000,SPI,MOSI: 0x1FF
3.217453960000000,SPI,MOSI: 0x1FF
3.217552200000000,SPI,MOSI: 0x1FF
3.217650540000000,SPI,MOSI: 0x1FF
3.217748880000000,SPI,MOSI: 0x1FF
3.217847080000000,SPI,MOSI: 0x1FF
3.217945400000000,SPI,MOSI: 0x1FF
3.218043700000000,SPI,MOSI: 0x1FF
3.218141960000000,SPI,MOSI: 0x1FF
3.218240240000000,SPI,MOSI: 0x1FF
3.218338540000000,SPI,MOSI: 0x1FF
3.218436880000000,SPI,MOSI: 0x1FF
3.218535120000000,SPI,MOSI: 0x1FF
3.218633440000000,SPI,MOSI: 0x1FF
3.218731720000000,SPI,MOSI: 0x1FF
3.218830040000000,SPI,MOSI: 0x1FF
3.218928340000000,SPI,MOSI: 0x1FF
