Time [s], Analyzer Name, Decoded Protocol Result
2.373545062500000,SPI,MOSI: 0x004
2.437517750000000,SPI,MOSI: 0x040
2.462492093750000,SPI,MOSI: 0x118
2.462570750000000,SPI,MOSI: 0x100
2.465757687500000,SPI,MOSI: 0x020
2.465853406250000,SPI,MOSI: 0x100
2.465948718750000,SPI,MOSI: 0x100
2.466043875000000,SPI,MOSI: 0x100
2.466139187500000,SPI,MOSI: 0x100
2.466234312500000,SPI,MOSI: 0x100
2.466329531250000,SPI,MOSI: 0x100
2.466424843750000,SPI,MOSI: 0x100
2.466520031250000,SPI,MOSI: 0x100
2.466615375000000,SPI,MOSI: 0x1C0
2.466711218750000,SPI,MOSI: 0x100
2.466806468750000,SPI,MOSI: 0x100
2.466901750000000,SPI,MOSI: 0x100
2.466997093750000,SPI,MOSI: 0x100
2.467092375000000,SPI,MOSI: 0x100
2.467187687500000,SPI,MOSI: 0x100
2.467283062500000,SPI,MOSI: 0x100
2.467378625000000,SPI,MOSI: 0x100
2.467473718750000,SPI,MOSI: 0x100
2.467569031250000,SPI,MOSI: 0x100
2.467664187500000,SPI,MOSI: 0x100
2.467759562500000,SPI,MOSI: 0x100
2.467854843750000,SPI,MOSI: 0x100
2.467950031250000,SPI,MOSI: 0x100
2.468045312500000,SPI,MOSI: 0x100
2.468140468750000,SPI,MOSI: 0x100
2.468235812500000,SPI,MOSI: 0x100
2.468331031250000,SPI,MOSI: 0x100
2.468426343750000,SPI,MOSI: 0x100
2.468521625000000,SPI,MOSI: 0x100
2.468617062500000,SPI,MOSI: 0x100
2.468712375000000,SPI,MOSI: 0x100
2.468807687500000,SPI,MOSI: 0x100
2.468906562500000,SPI,MOSI: 0x022
2.469002750000000,SPI,MOSI: 0x1A9
2.469099593750000,SPI,MOSI: 0x1A9
2.469196406250000,SPI,MOSI: 0x1A9
2.469293343750000,SPI,MOSI: 0x1A9
2.469389906250000,SPI,MOSI: 0x1A9
2.469486718750000,SPI,MOSI: 0x1A9
2.469583468750000,SPI,MOSI: 0x1A9
2.469680281250000,SPI,MOSI: 0x1A9
2.469777000000000,SPI,MOSI: 0x1A9
2.469873875000000,SPI,MOSI: 0x1A9
2.469970468750000,SPI,MOSI: 0x1A9
2.470067218750000,SPI,MOSI: 0x1A9
2.470164000000000,SPI,MOSI: 0x1A9
2.470260718750000,SPI,MOSI: 0x1A9
2.470357406250000,SPI,MOSI: 0x1A9
2.470454125000000,SPI,MOSI: 0x1A9
2.470550906250000,SPI,MOSI: 0x1A9
2.470647593750000,SPI,MOSI: 0x1A9
2.470744437500000,SPI,MOSI: 0x1A9
2.470841187500000,SPI,MOSI: 0x1A9
2.470937718750000,SPI,MOSI: 0x1A9
2.471034468750000,SPI,MOSI: 0x1A9
2.471131187500000,SPI,MOSI: 0x1A9
2.471227906250000,SPI,MOSI: 0x1A9
2.471324687500000,SPI,MOSI: 0x1A9
2.471421343750000,SPI,MOSI: 0x1A9
2.471518156250000,SPI,MOSI: 0x1A9
2.471614968750000,SPI,MOSI: 0x1A1
2.471711406250000,SPI,MOSI: 0x1A9
2.471808218750000,SPI,MOSI: 0x1A9
2.471905000000000,SPI,MOSI: 0x129
2.472001437500000,SPI,MOSI: 0x1A1
2.472097937500000,SPI,MOSI: 0x1A8
2.472194343750000,SPI,MOSI: 0x1A9
2.472291250000000,SPI,MOSI: 0x121
2.472387281250000,SPI,MOSI: 0x181
2.472483375000000,SPI,MOSI: 0x1A8
2.472579781250000,SPI,MOSI: 0x1A9
2.472676625000000,SPI,MOSI: 0x105
2.472772781250000,SPI,MOSI: 0x181
2.472868843750000,SPI,MOSI: 0x1A8
2.472965312500000,SPI,MOSI: 0x1A1
2.473061718750000,SPI,MOSI: 0x105
2.473157781250000,SPI,MOSI: 0x105
2.473253968750000,SPI,MOSI: 0x1A8
2.473350375000000,SPI,MOSI: 0x180
2.473446062500000,SPI,MOSI: 0x105
2.473542187500000,SPI,MOSI: 0x115
2.473638593750000,SPI,MOSI: 0x188
2.473734656250000,SPI,MOSI: 0x100
2.473830093750000,SPI,MOSI: 0x115
2.473926562500000,SPI,MOSI: 0x154
2.474023000000000,SPI,MOSI: 0x180
2.474118687500000,SPI,MOSI: 0x104
2.474214375000000,SPI,MOSI: 0x104
2.474310031250000,SPI,MOSI: 0x154
2.474406531250000,SPI,MOSI: 0x182
2.474502593750000,SPI,MOSI: 0x154
2.474599000000000,SPI,MOSI: 0x114
2.474695125000000,SPI,MOSI: 0x154
2.474791562500000,SPI,MOSI: 0x142
2.474887531250000,SPI,MOSI: 0x156
2.474984343750000,SPI,MOSI: 0x114
2.475080343750000,SPI,MOSI: 0x154
2.475176687500000,SPI,MOSI: 0x146
2.475273062500000,SPI,MOSI: 0x156
2.475369781250000,SPI,MOSI: 0x156
2.475466562500000,SPI,MOSI: 0x154
2.475562937500000,SPI,MOSI: 0x146
2.475659281250000,SPI,MOSI: 0x156
2.475756093750000,SPI,MOSI: 0x156
2.475852937500000,SPI,MOSI: 0x154
2.475949468750000,SPI,MOSI: 0x156
2.476046281250000,SPI,MOSI: 0x156
2.476143062500000,SPI,MOSI: 0x156
2.476239875000000,SPI,MOSI: 0x156
2.476336781250000,SPI,MOSI: 0x156
2.476433562500000,SPI,MOSI: 0x156
2.476530437500000,SPI,MOSI: 0x156
2.476627250000000,SPI,MOSI: 0x156
2.476724093750000,SPI,MOSI: 0x156
2.476820875000000,SPI,MOSI: 0x156
2.476917687500000,SPI,MOSI: 0x152
2.477014218750000,SPI,MOSI: 0x152
2.477110625000000,SPI,MOSI: 0x156
2.477207500000000,SPI,MOSI: 0x156
2.477304343750000,SPI,MOSI: 0x152
2.477400781250000,SPI,MOSI: 0x152
2.477497218750000,SPI,MOSI: 0x156
2.477594093750000,SPI,MOSI: 0x156
2.477690937500000,SPI,MOSI: 0x152
2.477787343750000,SPI,MOSI: 0x152
2.477883781250000,SPI,MOSI: 0x156
2.477980687500000,SPI,MOSI: 0x152
2.478077031250000,SPI,MOSI: 0x152
2.478173531250000,SPI,MOSI: 0x152
2.478269781250000,SPI,MOSI: 0x156
2.478366687500000,SPI,MOSI: 0x152
2.478463062500000,SPI,MOSI: 0x152
2.478559562500000,SPI,MOSI: 0x152
2.478655968750000,SPI,MOSI: 0x152
2.478752468750000,SPI,MOSI: 0x152
2.478848937500000,SPI,MOSI: 0x152
2.478945375000000,SPI,MOSI: 0x142
2.479041593750000,SPI,MOSI: 0x152
2.479137781250000,SPI,MOSI: 0x152
2.479234250000000,SPI,MOSI: 0x152
2.479330625000000,SPI,MOSI: 0x142
2.479426687500000,SPI,MOSI: 0x15A
2.479523375000000,SPI,MOSI: 0x14A
2.479619781250000,SPI,MOSI: 0x14A
2.479716250000000,SPI,MOSI: 0x14A
2.479812531250000,SPI,MOSI: 0x16A
2.479909312500000,SPI,MOSI: 0x16A
2.480006000000000,SPI,MOSI: 0x16A
2.480102812500000,SPI,MOSI: 0x16A
2.480199343750000,SPI,MOSI: 0x16A
2.480296031250000,SPI,MOSI: 0x16A
2.480392843750000,SPI,MOSI: 0x16A
2.480489562500000,SPI,MOSI: 0x16A
2.480586343750000,SPI,MOSI: 0x100
2.480681656250000,SPI,MOSI: 0x100
2.480776968750000,SPI,MOSI: 0x100
2.480872187500000,SPI,MOSI: 0x100
2.480967531250000,SPI,MOSI: 0x1FF
2.481065843750000,SPI,MOSI: 0x1FF
2.481164031250000,SPI,MOSI: 0x1FF
2.481262343750000,SPI,MOSI: 0x1FF
2.481360625000000,SPI,MOSI: 0x100
2.481455812500000,SPI,MOSI: 0x100
2.481551156250000,SPI,MOSI: 0x100
2.481646343750000,SPI,MOSI: 0x100
2.481741562500000,SPI,MOSI: 0x100
2.481836781250000,SPI,MOSI: 0x100
2.481932000000000,SPI,MOSI: 0x100
2.482027281250000,SPI,MOSI: 0x100
2.482122500000000,SPI,MOSI: 0x100
2.482217812500000,SPI,MOSI: 0x100
2.482313093750000,SPI,MOSI: 0x100
2.482408281250000,SPI,MOSI: 0x100
2.482503593750000,SPI,MOSI: 0x100
2.482598875000000,SPI,MOSI: 0x100
2.482694062500000,SPI,MOSI: 0x100
2.482789375000000,SPI,MOSI: 0x100
2.482884562500000,SPI,MOSI: 0x100
2.482979812500000,SPI,MOSI: 0x100
2.483075125000000,SPI,MOSI: 0x100
2.483170406250000,SPI,MOSI: 0x100
2.483265625000000,SPI,MOSI: 0x100
2.483360968750000,SPI,MOSI: 0x100
2.483456093750000,SPI,MOSI: 0x100
2.483551343750000,SPI,MOSI: 0x100
2.483646625000000,SPI,MOSI: 0x100
2.483741937500000,SPI,MOSI: 0x100
2.483837218750000,SPI,MOSI: 0x100
2.483932531250000,SPI,MOSI: 0x100
2.484027906250000,SPI,MOSI: 0x100
2.484123187500000,SPI,MOSI: 0x100
2.484218562500000,SPI,MOSI: 0x100
2.484313843750000,SPI,MOSI: 0x100
2.484409218750000,SPI,MOSI: 0x100
2.484504531250000,SPI,MOSI: 0x100
2.484599875000000,SPI,MOSI: 0x100
2.484695250000000,SPI,MOSI: 0x100
2.484790562500000,SPI,MOSI: 0x100
2.484885937500000,SPI,MOSI: 0x100
2.484981187500000,SPI,MOSI: 0x100
2.485076593750000,SPI,MOSI: 0x100
2.485171625000000,SPI,MOSI: 0x100
2.485266937500000,SPI,MOSI: 0x100
2.485362250000000,SPI,MOSI: 0x100
2.485457375000000,SPI,MOSI: 0x100
2.485552687500000,SPI,MOSI: 0x100
2.485647812500000,SPI,MOSI: 0x100
2.485743031250000,SPI,MOSI: 0x100
2.485838062500000,SPI,MOSI: 0x100
2.485933281250000,SPI,MOSI: 0x100
2.486028562500000,SPI,MOSI: 0x100
2.486123781250000,SPI,MOSI: 0x100
2.486219062500000,SPI,MOSI: 0x100
2.486314281250000,SPI,MOSI: 0x100
2.486409593750000,SPI,MOSI: 0x100
2.486504875000000,SPI,MOSI: 0x100
2.486600031250000,SPI,MOSI: 0x100
2.486695343750000,SPI,MOSI: 0x100
2.486790531250000,SPI,MOSI: 0x100
2.486885843750000,SPI,MOSI: 0x100
2.486981000000000,SPI,MOSI: 0x100
2.487076375000000,SPI,MOSI: 0x100
2.487171562500000,SPI,MOSI: 0x100
2.487266781250000,SPI,MOSI: 0x100
2.487362031250000,SPI,MOSI: 0x100
2.487457250000000,SPI,MOSI: 0x100
2.487552562500000,SPI,MOSI: 0x100
2.487647718750000,SPI,MOSI: 0x100
2.487743093750000,SPI,MOSI: 0x100
2.487838250000000,SPI,MOSI: 0x100
2.487933437500000,SPI,MOSI: 0x100
2.488028718750000,SPI,MOSI: 0x100
2.488123906250000,SPI,MOSI: 0x100
2.488219187500000,SPI,MOSI: 0x100
2.488314406250000,SPI,MOSI: 0x100
2.488409718750000,SPI,MOSI: 0x100
2.488504937500000,SPI,MOSI: 0x100
2.488600312500000,SPI,MOSI: 0x100
2.488695468750000,SPI,MOSI: 0x100
2.488790781250000,SPI,MOSI: 0x100
2.488886062500000,SPI,MOSI: 0x100
2.488981281250000,SPI,MOSI: 0x100
2.489076468750000,SPI,MOSI: 0x100
2.489171843750000,SPI,MOSI: 0x100
2.489267187500000,SPI,MOSI: 0x100
2.489362500000000,SPI,MOSI: 0x100
2.489457781250000,SPI,MOSI: 0x100
2.489553093750000,SPI,MOSI: 0x100
2.489648468750000,SPI,MOSI: 0x100
2.489743781250000,SPI,MOSI: 0x100
2.489839093750000,SPI,MOSI: 0x100
2.489934437500000,SPI,MOSI: 0x100
2.490029750000000,SPI,MOSI: 0x100
2.490125125000000,SPI,MOSI: 0x100
2.490220406250000,SPI,MOSI: 0x100
2.490315812500000,SPI,MOSI: 0x100
2.490411125000000,SPI,MOSI: 0x100
2.490506531250000,SPI,MOSI: 0x100
2.490601843750000,SPI,MOSI: 0x100
2.490697125000000,SPI,MOSI: 0x100
2.490792531250000,SPI,MOSI: 0x100
2.490887843750000,SPI,MOSI: 0x100
